name,online_order,book_table,votes,location,rest_type,cuisines,listed_in(type),listed_in(city),rating,cost_for_two
Jalsa,Yes,Yes,775,Banashankari,Casual Dining,"North Indian, Mughlai, Chinese",Buffet,Banashankari,4.1,800.0
Spice Elephant,Yes,No,787,Banashankari,Casual Dining,"Chinese, North Indian, Thai",Buffet,Banashankari,4.1,800.0
San Churro Cafe,Yes,No,918,Banashankari,"Cafe, Casual Dining","Cafe, Mexican, Italian",Buffet,Banashankari,3.8,800.0
Addhuri Udupi Bhojana,No,No,88,Banashankari,Quick Bites,"South Indian, North Indian",Buffet,Banashankari,3.7,300.0
Grand Village,No,No,166,Basavanagudi,Casual Dining,"North Indian, Rajasthani",Buffet,Banashankari,3.8,600.0
Timepass Dinner,Yes,No,286,Basavanagudi,Casual Dining,North Indian,Buffet,Banashankari,3.8,600.0
Rosewood International Hotel - Bar & Restaurant,No,No,8,Mysore Road,Casual Dining,"North Indian, South Indian, Andhra, Chinese",Buffet,Banashankari,3.6,800.0
Onesta,Yes,Yes,2556,Banashankari,"Casual Dining, Cafe","Pizza, Cafe, Italian",Cafes,Banashankari,4.6,600.0
Penthouse Cafe,Yes,No,324,Banashankari,Cafe,"Cafe, Italian, Continental",Cafes,Banashankari,4.0,700.0
Smacznego,Yes,No,504,Banashankari,Cafe,"Cafe, Mexican, Italian, Momos, Beverages",Cafes,Banashankari,4.2,550.0
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Yes,No,402,Banashankari,Cafe,Cafe,Cafes,Banashankari,4.1,500.0
Cafe Shuffle,Yes,Yes,150,Banashankari,Cafe,"Cafe, Italian, Continental",Cafes,Banashankari,4.2,600.0
The Coffee Shack,Yes,Yes,164,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian",Cafes,Banashankari,4.2,500.0
Caf-Eleven,No,No,424,Banashankari,Cafe,"Cafe, Continental",Cafes,Banashankari,4.0,450.0
San Churro Cafe,Yes,No,918,Banashankari,"Cafe, Casual Dining","Cafe, Mexican, Italian",Cafes,Banashankari,3.8,800.0
Cafe Vivacity,Yes,No,90,Banashankari,Cafe,Cafe,Cafes,Banashankari,3.8,650.0
Catch-up-ino,Yes,No,133,Banashankari,Cafe,"Cafe, Fast Food, Continental, Chinese, Momos",Cafes,Banashankari,3.9,800.0
Kirthi's Biryani,Yes,No,144,Banashankari,Cafe,"Chinese, Cafe, Italian",Cafes,Banashankari,3.8,700.0
T3H Cafe,No,No,93,Banashankari,Cafe,"Cafe, Italian, American",Cafes,Banashankari,3.9,300.0
360 Atoms Restaurant And Cafe,Yes,No,13,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian",Cafes,Banashankari,3.1,400.0
The Vintage Cafe,Yes,No,62,Banashankari,Cafe,"Cafe, French, North Indian",Cafes,Banashankari,3.0,400.0
Woodee Pizza,Yes,No,180,Banashankari,Cafe,"Cafe, Pizza, Fast Food, Beverages",Cafes,Banashankari,3.7,500.0
Cafe Coffee Day,No,No,28,Banashankari,Cafe,"Cafe, Fast Food",Cafes,Banashankari,3.6,900.0
My Tea House,Yes,No,62,Banashankari,"Quick Bites, Cafe","Italian, Fast Food, Cafe, European",Cafes,Banashankari,3.6,600.0
Hide Out Cafe,No,No,31,Banashankari,Cafe,Cafe,Cafes,Banashankari,3.7,300.0
CAFE NOVA,No,No,11,Banashankari,Cafe,"Cafe, Bakery",Cafes,Banashankari,3.2,600.0
Coffee Tindi,Yes,No,75,Banashankari,"Cafe, Quick Bites","Cafe, South Indian",Cafes,Banashankari,3.8,200.0
Sea Green Cafe,No,No,4,Banashankari,Cafe,"Cafe, Fast Food, Beverages",Cafes,Banashankari,3.3,500.0
Cuppa,No,No,23,Banashankari,Cafe,"Cafe, Fast Food",Cafes,Banashankari,3.3,550.0
Srinathji's Cafe,No,No,148,Basavanagudi,"Casual Dining, Cafe","North Indian, Cafe, Chinese, Fast Food",Cafes,Banashankari,3.8,550.0
Redberrys,Yes,No,219,Basavanagudi,Cafe,"Cafe, Italian",Cafes,Banashankari,4.0,600.0
Foodiction,Yes,No,506,Banashankari,Quick Bites,"North Indian, Fast Food, Chinese, Burger",Delivery,Banashankari,2.8,500.0
Sweet Truth,Yes,No,35,Banashankari,Delivery,"Bakery, Desserts",Delivery,Banashankari,3.9,500.0
Ovenstory Pizza,Yes,No,172,Banashankari,Delivery,Pizza,Delivery,Banashankari,3.9,750.0
Faasos,Yes,No,415,Banashankari,Quick Bites,"North Indian, Biryani, Fast Food",Delivery,Banashankari,4.2,500.0
Behrouz Biryani,Yes,No,230,Banashankari,Delivery,Biryani,Delivery,Banashankari,3.9,650.0
Fast And Fresh,Yes,No,91,Banashankari,Quick Bites,"North Indian, Chinese, Fast Food",Delivery,Banashankari,2.8,400.0
Szechuan Dragon,Yes,No,1647,Banashankari,Casual Dining,"Chinese, Thai, Momos",Delivery,Banashankari,4.2,600.0
Empire Restaurant,Yes,No,4884,Jayanagar,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",Delivery,Banashankari,4.4,750.0
Maruthi Davangere Benne Dosa,Yes,No,17,Banashankari,Quick Bites,South Indian,Delivery,Banashankari,4.0,150.0
Chaatimes,Yes,No,133,Basavanagudi,Quick Bites,"Street Food, Fast Food",Delivery,Banashankari,3.8,200.0
Havyaka Mess,No,No,28,Banashankari,Mess,South Indian,Delivery,Banashankari,3.9,300.0
McDonald's,Yes,No,286,Banashankari,Quick Bites,"Burger, Fast Food",Delivery,Banashankari,3.9,500.0
Domino's Pizza,Yes,No,540,Banashankari,Quick Bites,"Pizza, Fast Food",Delivery,Banashankari,3.9,800.0
